Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
437;A Sidor, P Rzymski;dietary choices and habits during covid-19 lockdown experience from poland;2020;Nutrients;mdpi.com;https://www.mdpi.com/733486;https://scholar.google.com/scholar?cites=16389301250925924005&as_sdt=2005&sciodt=2007&hl=en;14;15.12.2021 05:57;;;;;;;;;437;43700;219;2;1;The outbreak of coronavirus disease (COVID-19) in late December 2019 in China, which later developed into a pandemic, has forced different countries to implement strict sanitary …;https://www.mdpi.com/2072-6643/12/6/1657/pdf;https://scholar.google.com/scholar?q=related:pQ5OSqd-cuMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
399;LYK Nakada, RC Urban;covid-19 pandemic impacts on the air quality during the partial lockdown in sao paulo state brazil;2020;Science of the Total Environment;Elsevier;https://www.sciencedirect.com/science/article/pii/S0048969720326048;https://scholar.google.com/scholar?cites=3800796597791655695&as_sdt=2005&sciodt=2007&hl=en;86;15.12.2021 05:57;;;;;;;;;399;39900;200;2;1;Abstract In early March 2020, the World Health Organization declared the COVID-19 as a pandemic, and in late March 2020 partial lockdown was ordered by the São Paulo state …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7189200/;https://scholar.google.com/scholar?q=related:D4fiQl4kvzQJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
392;G Dantas, B Siciliano, BB França, CM da Silva, ...;the impact of covid-19 partial lockdown on the air quality of the city of rio de janeiro brazil;2020;Science of the total …;Elsevier;https://www.sciencedirect.com/science/article/pii/S0048969720326024;https://scholar.google.com/scholar?cites=13533392039700163413&as_sdt=2005&sciodt=2007&hl=en;242;15.12.2021 05:57;;;;;;;;;392;39200;78;5;1;The first COVID-19 case in Brazil was confirmed on February 25, 2020. On March 16, the state's governor declared public health emergency in the city of Rio de Janeiro and partial …;https://www.sciencedirect.com/science/article/am/pii/S0048969720326024;https://scholar.google.com/scholar?q=related:VWttbFtE0LsJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
391;CG Sibley, LM Greaves, N Satherley, ...;effects of the covid-19 pandemic and nationwide lockdown on trust attitudes toward government and well-being;2020;American …;psycnet.apa.org;https://psycnet.apa.org/doiLanding?doi=10.1037/amp0000662;https://scholar.google.com/scholar?cites=9226447681830145431&as_sdt=2005&sciodt=2007&hl=en;93;15.12.2021 05:57;;10.1037/amp0000662;;;;;;;391;39100;98;4;1;The contagiousness and deadliness of COVID-19 have necessitated drastic social management to halt transmission. The immediate effects of a nationwide lockdown were …;https://www.apa.org/pubs/journals/releases/amp_amp0000662.pdf;https://scholar.google.com/scholar?q=related:l002ZkjtCoAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
384;C Pieh, S Budimir, T Probst;the effect of age gender income work and physical activity on mental health during coronavirus disease covid-19 lockdown in austria;2020;Journal of psychosomatic research;Elsevier;https://www.sciencedirect.com/science/article/pii/S0022399920307480;https://scholar.google.com/scholar?cites=8399516917855006252&as_sdt=2005&sciodt=2007&hl=en;309;15.12.2021 05:57;;;;;;;;;384;38400;128;3;1;Abstract Background The impact of Coronavirus disease (COVID-19) and the governmental restrictions on mental health have been reported for different countries. This study evaluated …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7832650/;https://scholar.google.com/scholar?q=related:LK6hXSIUkXQJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
372;SB Guessoum, J Lachal, R Radjack, E Carretier, ...;adolescent psychiatric disorders during the covid-19 pandemic and lockdown;2020;Psychiatry …;Elsevier;https://www.sciencedirect.com/science/article/pii/S0165178120318382;https://scholar.google.com/scholar?cites=5118477218354209376&as_sdt=2005&sciodt=2007&hl=en;109;15.12.2021 05:57;;;;;;;;;372;37200;74;5;1;The aim of this paper was to review the literature on adolescent psychiatric disorders related to the COVID-19 pandemic and lockdown. Stressful life events, extended home confinement …;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7323662/;https://scholar.google.com/scholar?q=related:YKLuRul7CEcJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
360;N Kapasia, P Paul, A Roy, J Saha, A Zaveri, ...;impact of lockdown on learning status of undergraduate and postgraduate students during covid-19 pandemic in west bengal india;2020;Children and Youth …;Elsevier;https://www.sciencedirect.com/science/article/pii/S0190740920310604;https://scholar.google.com/scholar?cites=6673404320122298698&as_sdt=2005&sciodt=2007&hl=en;39;15.12.2021 05:57;;;;;;;;;360;36000;60;6;1;To assess the impact of lockdown amidst COVID-19 on undergraduate and postgraduate learners of various colleges and universities of West Bengal. An online survey was …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7308748/;https://scholar.google.com/scholar?q=related:SmFyN9-xnFwJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
350;MR Gualano, G Lo Moro, G Voglino, F Bert, ...;effects of covid-19 lockdown on mental health and sleep disturbances in italy;2020;International journal of …;mdpi.com;https://www.mdpi.com/759332;https://scholar.google.com/scholar?cites=9875392931357580687&as_sdt=2005&sciodt=2007&hl=en;120;15.12.2021 05:57;;;;;;;;;350;35000;70;5;1;Italy was the first European country that entered a nationwide lockdown during the COVID-19 pandemic. Since quarantine can impact on mental health, this study aimed to estimate …;https://www.mdpi.com/1660-4601/17/13/4779/pdf;https://scholar.google.com/scholar?q=related:j934ioxxDIkJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
313;P Block, M Hoffman, IJ Raabe, JB Dowd, ...;social network-based distancing strategies to flatten the covid-19 curve in a post-lockdown world;2020;Nature Human …;nature.com;https://www.nature.com/articles/s41562-020-0898-6;https://scholar.google.com/scholar?cites=4816714783330703791&as_sdt=2005&sciodt=2007&hl=en;145;15.12.2021 05:57;HTML;;;;;;;;313;31300;63;5;1;Social distancing and isolation have been widely introduced to counter the COVID-19 pandemic. Adverse social, psychological and economic consequences of a complete or …;https://www.nature.com/articles/s41562-020-0898-6;https://scholar.google.com/scholar?q=related:r5nMTJNo2EIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
311;P Sicard, A De Marco, E Agathokleous, Z Feng, ...;amplified ozone pollution in cities during the covid-19 lockdown;2020;Science of the Total …;Elsevier;https://www.sciencedirect.com/science/article/pii/S004896972033059X;https://scholar.google.com/scholar?cites=17788199682318132905&as_sdt=2005&sciodt=2007&hl=en;112;15.12.2021 05:57;;;;;;;;;311;31100;62;5;1;The effect of lockdown due to coronavirus disease (COVID-19) pandemic on air pollution in four Southern European cities (Nice, Rome, Valencia and Turin) and Wuhan (China) was …;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7237366/;https://scholar.google.com/scholar?q=related:qeZJel1h3PYJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
282;X Huang, A Ding, J Gao, B Zheng, D Zhou, ...;enhanced secondary pollution offset reduction of primary emissions during covid-19 lockdown in china;2021;National Science …;academic.oup.com;https://academic.oup.com/nsr/article-abstract/8/2/nwaa137/5859289;https://scholar.google.com/scholar?cites=5462615759947641978&as_sdt=2005&sciodt=2007&hl=en;144;15.12.2021 05:57;;;;;;;;;282;28200;47;6;1;To control the spread of the 2019 novel coronavirus (COVID-19), China imposed nationwide restrictions on the movement of its population (lockdown) after the Chinese New Year of …;https://academic.oup.com/nsr/article/8/2/nwaa137/5859289;https://scholar.google.com/scholar?q=related:ejQhbBccz0sJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
278;L Li, Q Li, L Huang, Q Wang, A Zhu, J Xu, Z Liu, ...;air quality changes during the covid-19 lockdown over the yangtze river delta region an insight into the impact of human activity pattern changes on air pollution ;2020;Science of the Total …;Elsevier;https://www.sciencedirect.com/science/article/pii/S0048969720327996;https://scholar.google.com/scholar?cites=2018653429493985457&as_sdt=2005&sciodt=2007&hl=en;370;15.12.2021 05:57;;;;;;;;;278;27800;35;8;1;The outbreak of COVID-19 has spreaded rapidly across the world. To control the rapid dispersion of the virus, China has imposed national lockdown policies to practise social …;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7211667/;https://scholar.google.com/scholar?q=related:sfCcTZmyAxwJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
270;S Marelli, A Castelnuovo, A Somma, V Castronovo, ...;impact of covid-19 lockdown on sleep quality in university students and administration staff;2021;Journal of …;Springer;https://link.springer.com/article/10.1007/s00415-020-10056-6;https://scholar.google.com/scholar?cites=10669971115902428178&as_sdt=2005&sciodt=2007&hl=en;43;15.12.2021 05:57;HTML;10.1007/s00415-020-10056-6;;;;;;;270;27000;54;5;1;Abstract Introduction In Italy, lockdown due to COVID-19 health emergency started on March 10 and partially ended on May 3rd, 2020. There was a significant increase of psychological …;https://link.springer.com/article/10.1007/s00415-020-10056-6;https://scholar.google.com/scholar?q=related:EuQKrzJaE5QJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
269;M de Haas, R Faber, M Hamersma;how covid-19 and the dutch intelligent lockdownchange activities work and travel behaviour evidence from longitudinal data in the netherlands;2020;Transportation Research …;Elsevier;https://www.sciencedirect.com/science/article/pii/S2590198220300610;https://scholar.google.com/scholar?cites=12714461507559825786&as_sdt=2005&sciodt=2007&hl=en;652;15.12.2021 05:57;HTML;;;;;;;;269;26900;90;3;1;COVID-19 has massively affected the lives of people all over the world. This paper presents first insights in current and potential future effects of the virus and the Dutch government's …;https://www.sciencedirect.com/science/article/pii/S2590198220300610;https://scholar.google.com/scholar?q=related:eiF7hGDXcrAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
267;A Atalan;is the lockdown important to prevent the covid-19 pandemic effects on psychology environment and economy-perspective;2020;Annals of medicine and surgery;Elsevier;https://www.sciencedirect.com/science/article/pii/S2049080120301485;https://scholar.google.com/scholar?cites=6398059882499566754&as_sdt=2005&sciodt=2007&hl=en;4;15.12.2021 05:57;HTML;;;;;;;;267;26700;267;1;1;COVID-19's daily increasing cases and deaths have led to worldwide lockdown, quarantine and some restrictions. This study aims to analyze the effect of lockdown days on the spread …;https://www.sciencedirect.com/science/article/pii/S2049080120301485;https://scholar.google.com/scholar?q=related:omwQlJB5ylgJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
267;G He, Y Pan, T Tanaka;the short-term impacts of covid-19 lockdown on urban air pollution in china;2020;Nature Sustainability;nature.com;https://www.nature.com/articles/s41893-020-0581-y;https://scholar.google.com/scholar?cites=4871336316257801488&as_sdt=2005&sciodt=2007&hl=en;78;15.12.2021 05:57;HTML;;;;;;;;267;26700;89;3;1;To prevent the escalation of COVID-19 transmission, China locked down one-third of its cities, which strictly curtailed personal mobility and economic activities. Using …;https://www.nature.com/articles/s41893-020-0581-y;https://scholar.google.com/scholar?q=related:EJUB-JF2mkMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
258;F Scarmozzino, F Visioli;covid-19 and the subsequent lockdown modified dietary habits of almost half the population in an italian sample;2020;Foods;mdpi.com;https://www.mdpi.com/724908;https://scholar.google.com/scholar?cites=4044101429702510370&as_sdt=2005&sciodt=2007&hl=en;364;15.12.2021 05:57;;;;;;;;;258;25800;129;2;1;The Covid-19 pandemic led to lockdowns in several parts of the world and, hence, changed some daily habits, including social interactions, the ability to perform sports, and—possibly …;https://www.mdpi.com/2304-8158/9/5/675/pdf;https://scholar.google.com/scholar?q=related:IkcR4dKIHzgJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
235;AKMI Bhuiyan, N Sakib, AH Pakpour, ...;covid-19-related suicides in bangladesh due to lockdown and economic factors case study evidence from media reports;2020;International Journal of …;Springer;https://link.springer.com/content/pdf/10.1007/s11469-020-00307-y.pdf;https://scholar.google.com/scholar?cites=8949007022037312924&as_sdt=2005&sciodt=2007&hl=en;234;15.12.2021 05:57;PDF;10.1007/s11469-020-00307-y;;;;;;;235;23500;59;4;1;The incidence and mortality of the coronavirus-2019 disease (COVID-19) have increased dramatically around the world. The effects of COVID-19 pandemic are not limited to health …;https://link.springer.com/content/pdf/10.1007/s11469-020-00307-y.pdf;https://scholar.google.com/scholar?q=related:nKUCAXlCMXwJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
234;S Sundarasen, K Chinna, K Kamaludin, ...;psychological impact of covid-19 and lockdown among university students in malaysia implications and policy recommendations;2020;International journal of …;mdpi.com;https://www.mdpi.com/809242;https://scholar.google.com/scholar?cites=10058223662384868134&as_sdt=2005&sciodt=2007&hl=en;605;15.12.2021 05:57;;;;;;;;;234;23400;59;4;1;The COVID-19 pandemic and the lockdown has taken the world by storm. This study examines its impact on the anxiety level of university students in Malaysia during the peak of …;https://www.mdpi.com/1660-4601/17/17/6206/pdf;https://scholar.google.com/scholar?q=related:JuvgUyH9lYsJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
233;AP Yunus, Y Masago, Y Hijioka;covid-19 and surface water quality improved lake water quality during the lockdown;2020;Science of the Total Environment;Elsevier;https://www.sciencedirect.com/science/article/pii/S0048969720325298;https://scholar.google.com/scholar?cites=7204845373423781473&as_sdt=2005&sciodt=2007&hl=en;608;15.12.2021 05:57;HTML;;;;;;;;233;23300;78;3;1;Human life comes to a standstill as many countries shut themselves off from the work due to the novel coronavirus disease pandemic (COVID-19) that hit the world severely in the first …;https://www.sciencedirect.com/science/article/pii/S0048969720325298;https://scholar.google.com/scholar?q=related:YYaKuLHA_GMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
231;A Atangana;modelling the spread of covid-19 with new fractal-fractional operators can the lockdown save mankind before vaccination;2020;Chaos, Solitons & Fractals;Elsevier;https://www.sciencedirect.com/science/article/pii/S0960077920302605;https://scholar.google.com/scholar?cites=13351378587229024205&as_sdt=2005&sciodt=2007&hl=en;892;15.12.2021 05:57;;;;;;;;;231;23100;231;1;1;Countries around the world are implementing lock-down measures in a bid to flatten the curve of the new deadly COVID-19 disease. Our paper does not claim to have found the …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7256018/;https://scholar.google.com/scholar?q=related:ze-KIRagSbkJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
230;C Rutz, MC Loretto, AE Bates, SC Davidson, ...;covid-19 lockdown allows researchers to quantify the effects of human activity on wildlife;2020;Nature Ecology & …;nature.com;https://www.nature.com/articles/s41559-020-1237-z?fbclid=IwAR3LjEP0ZRTuu7ZJ7vy776wr3JSJr_09b6ZhxLg86TI7C4dGUqnEwI6Ryg8;https://scholar.google.com/scholar?cites=11041086363961622283&as_sdt=2005&sciodt=2007&hl=en;50;15.12.2021 05:57;HTML;;;;;;;;230;23000;46;5;1;Over the past few months, many countries around the world went into lockdown to control the spread of COVID-19. Brought about by the most tragic circumstances, this period of …;https://www.nature.com/articles/s41559-020-1237-z?fbclid=IwAR3LjEP0ZRTuu7ZJ7vy776wr3JSJr_09b6ZhxLg86TI7C4dGUqnEwI6Ryg8;https://scholar.google.com/scholar?q=related:C39XwozROZkJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
223;R Radha, K Mahalakshmi, VS Kumar, ...;e-learning during lockdown of covid-19 pandemic a global perspective;2020;International journal of …;academia.edu;https://www.academia.edu/download/64029090/covid-pandemic-scopus.pdf;https://scholar.google.com/scholar?cites=14053341967753561044&as_sdt=2005&sciodt=2007&hl=en;9;15.12.2021 05:57;PDF;;;;;;;;223;22300;56;4;1;E-learning has become the mandatory component of all educational institutions like schools, colleges, and universities in and around the world due to the pandemic crisis of COVID-19 …;https://www.academia.edu/download/64029090/covid-pandemic-scopus.pdf;https://scholar.google.com/scholar?q=related:1EMK1w-AB8MJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
221;S Jribi, HB Ismail, D Doggui, H Debbabi;covid-19 virus outbreak lockdown what impacts on household food wastage;2020;Environment, Development and …;Springer;https://link.springer.com/article/10.1007/s10668-020-00740-y;https://scholar.google.com/scholar?cites=6492996731577789674&as_sdt=2005&sciodt=2007&hl=en;135;15.12.2021 05:57;HTML;10.1007/s10668-020-00740-y;;;;;;;221;22100;55;4;1;Abstract The 2019–2020 coronavirus disease (COVID-19) is a public health issue. Lockdown is among options suggested to reduce spread of the virus. This study aimed to …;https://link.springer.com/article/10.1007/s10668-020-00740-y;https://scholar.google.com/scholar?q=related:6mx3QSDCG1oJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
216;A Otmani, A Benchrif, M Tahri, M Bounakhla, ...;impact of covid-19 lockdown on pm10 so2 and no2 concentrations in sale city morocco;2020;Science of the total …;Elsevier;https://www.sciencedirect.com/science/article/pii/S0048969720330588;https://scholar.google.com/scholar?cites=2378448304715405263&as_sdt=2005&sciodt=2007&hl=en;367;15.12.2021 05:57;;;;;;;;;216;21600;43;5;1;Covid-19 was first reported in Morocco on March 2, 2020. Since then, to prevent its propagation, the Moroccan government declared a state of health emergency. A set of rapid …;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7235599/;https://scholar.google.com/scholar?q=related:zxcxryHyASEJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown&hl=en&as_sdt=2007
