Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
42;BA Bhat, S Khan, S Manzoor, A Niyaz, ...;a study on impact of covid-19 lockdown on psychological health economy and social life of people in kashmir;2020;International Journal of …;academia.edu;https://www.academia.edu/download/63269135/IJSHR00520200511-114175-1qwsa6m.pdf;https://scholar.google.com/scholar?cites=12917297094907645319&as_sdt=2005&sciodt=2007&hl=en;6;16.12.2021 01:40;PDF;;;;;;;;42;4200;8;5;1;The 2019 corona virus disease (COVID-19) epidemic is a public health emergency of international concern and poses a challenge to psychological resilience, economy and social life of people. Research data are needed to develop evidence-driven strategies to …;https://www.academia.edu/download/63269135/IJSHR00520200511-114175-1qwsa6m.pdf;https://scholar.google.com/scholar?q=related:h80n4ER1Q7MJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
32;V Rawal, M Kumar, A Verma, ...;covid-19 lockdown impact on agriculture and rural economy;2020;Society for Social and …;archive.indianstatistics.org;http://archive.indianstatistics.org/sserwp/sserwp2003.pdf;https://scholar.google.com/scholar?cites=16793204161454015695&as_sdt=2005&sciodt=2007&hl=en;3;16.12.2021 01:40;PDF;;;;;;;;32;3200;8;4;1;SSER encourages the use, reproduction and dissemination of material in this monograph. Except where otherwise indicated, material may be copied, downloaded and printed for private study, research and teaching purposes, or for use in noncommercial products or …;http://archive.indianstatistics.org/sserwp/sserwp2003.pdf;https://scholar.google.com/scholar?q=related:zwQU7DVyDekJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
23;A Joshi, P Bhaskar, PK Gupta;indian economy amid covid-19 lockdown a prespective;2020;J. Pure Appl. Microbiol;pdfs.semanticscholar.org;https://pdfs.semanticscholar.org/f496/f1e11d2d35ba1c652e7fb3bd41d25ac5eda6.pdf;https://scholar.google.com/scholar?cites=1285869818237432219&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:40;PDF;;;;;;;;23;2300;8;3;1;COVID-19 virus has resulted in the lockdown of schools, offices, factories, temples, railway stations, and even the airspace. It is estimated that due to the lockdown, the Indian economy may face prolonged adverse impact. The paper is an attempt to ascertain the impact of …;https://pdfs.semanticscholar.org/f496/f1e11d2d35ba1c652e7fb3bd41d25ac5eda6.pdf;https://scholar.google.com/scholar?q=related:mzFwb8lT2BEJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
22;A Gupta, H Zhu, MK Doan, A Michuda, ...;economic impacts of the covid? 19 lockdown in a remittance?dependent region;2021;American Journal of …;Wiley Online Library;https://onlinelibrary.wiley.com/doi/abs/10.1111/ajae.12178;https://scholar.google.com/scholar?cites=15216136114552373883&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:42;;10.1111/ajae.12178;;;;;;;22;2200;4;5;1;The economic impacts of COVID?19 lockdowns on poor and vulnerable households living in rural areas of developing countries are not well understood due to a lack of detailed micro?survey data at the household level. Utilizing weekly financial transaction data collected from …;https://vtechworks.lib.vt.edu/bitstream/handle/10919/101681/AJAE%202020.pdf?sequence=2&isAllowed=y;https://scholar.google.com/scholar?q=related:ewLjeS2TKtMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
20;RK Biswas, S Huq, A Afiaz;relaxed lockdown in bangladesh during covid-19 should economy outweigh health;2020;International Journal of Health Policy …;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7719201/;https://scholar.google.com/scholar?cites=6593274427271407433&as_sdt=2005&sciodt=2007&hl=en;5;16.12.2021 01:40;HTML;;;;;;;;20;2000;7;3;1;The ongoing coronavirus disease 2019/severe acute respiratory syndrome coronavirus 2 (COVID-19/SARS-CoV-2) pandemic has challenged scientists and policy-makers worldwide. As of June 5, 2020, it has spread across 216 countries, infected 6.5 million …;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7719201/;https://scholar.google.com/scholar?q=related:SectsCgEgFsJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
20;KP Kannan;covid-19 lockdown protecting the poor means keeping the indian economy afloat;2020;Economic & Political Weekly;;;https://scholar.google.com/scholar?cites=16289700923914010833&as_sdt=2005&sciodt=2007&hl=en;54;16.12.2021 01:40;CITATION;;;;;;;;20;2000;20;1;1;;;https://scholar.google.com/scholar?q=related:0UA_C6-kEOIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
18;G Bonaccorsi, F Pierri, M Cinelli, F Porcelli, ...;evidence of economic segregation from mobility lockdown during covid-19 epidemic;2020;arXiv preprint arXiv …;arxiv.org;https://arxiv.org/abs/2004.05455;https://scholar.google.com/scholar?cites=2181609678421900563&as_sdt=2005&sciodt=2007&hl=en;6;16.12.2021 01:42;;;;;;;;;18;1800;4;5;1;In response to the COVID-19 pandemic, National governments have applied lockdown restrictions to reduce the infection rate. We perform a massive analysis on near real-time Italian data provided by Facebook to investigate how lockdown strategies affect economic …;https://arxiv.org/pdf/2004.05455;https://scholar.google.com/scholar?q=related:Ez3koHGiRh4J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
17;HS Maghdid, KZ Ghafoor;a smartphone enabled approach to manage covid-19 lockdown and economic crisis;2020;SN Computer Science;Springer;https://link.springer.com/article/10.1007/s42979-020-00290-0;https://scholar.google.com/scholar?cites=1451154887138863585&as_sdt=2005&sciodt=2007&hl=en;10;16.12.2021 01:42;HTML;10.1007/s42979-020-00290-0;;;;;;;17;1700;9;2;1;The emergence of novel COVID-19 causes an over-load in health system and high mortality rate. The key priority is to contain the epidemic and prevent the infection rate. In this context, many countries are now in some degree of lockdown to ensure extreme social distancing of …;https://link.springer.com/article/10.1007/s42979-020-00290-0;https://scholar.google.com/scholar?q=related:4en7aa6JIxQJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
16;J Verschuur, EE Koks, JW Hall;global economic impacts of covid-19 lockdown measures stand out in high-frequency shipping data;2021;PloS one;journals.plos.org;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248818;https://scholar.google.com/scholar?cites=10639501576556331334&as_sdt=2005&sciodt=2007&hl=en;16;16.12.2021 01:42;HTML;;;;;;;;16;1600;5;3;1;The implementation of large-scale containment measures by governments to contain the spread of the COVID-19 virus has resulted in large impacts to the global economy. Here, we derive a new high-frequency indicator of economic activity using empirical vessel tracking …;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0248818;https://scholar.google.com/scholar?q=related:RkHZOVAap5MJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
16;D Piccinini, C Giunchi, M Olivieri, F Frattini, ...;covid-19 lockdown and its latency in northern italy seismic evidence and socio-economic interpretation;2020;Scientific reports;nature.com;https://www.nature.com/articles/s41598-020-73102-3;https://scholar.google.com/scholar?cites=4520875497839845977&as_sdt=2005&sciodt=2007&hl=en;8;16.12.2021 01:42;HTML;;;;;;;;16;1600;3;5;1;Abstract The Italian Government has decreed a series of progressive restrictions to delay the COVID-19 pandemic diffusion in Italy since March 10, 2020, including limitation in individual mobility and the closure of social, cultural, economic and industrial activities. Here we show …;https://www.nature.com/articles/s41598-020-73102-3;https://scholar.google.com/scholar?q=related:WeKCClBgvT4J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
16;S You, H Wang, M Zhang, H Song, X Xu, ...;assessment of monthly economic losses in wuhan under the lockdown against covid-19;2020;Humanities and Social …;nature.com;https://www.nature.com/articles/s41599-020-00545-4;https://scholar.google.com/scholar?cites=12124338939062121560&as_sdt=2005&sciodt=2007&hl=en;12;16.12.2021 01:42;HTML;;;;;;;;16;1600;3;6;1;With the outbreak of COVID-19 in Wuhan, aggressive countermeasures have been taken, including the implementation of the unprecedented lockdown of the city, which will necessarily cause huge economic losses for the city of Wuhan. In this paper, we attempt to …;https://www.nature.com/articles/s41599-020-00545-4;https://scholar.google.com/scholar?q=related:WPQ7DwdOQqgJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
13;TR Bolaño-Ortiz, SE Puliafito, LL Berná-Peña, ...;atmospheric emission changes and their economic impacts during the covid-19 pandemic lockdown in argentina;2020;Sustainability;mdpi.com;https://www.mdpi.com/862476;https://scholar.google.com/scholar?cites=2748177247511915599&as_sdt=2005&sciodt=2007&hl=en;17;16.12.2021 01:42;;;;;;;;;13;1300;3;4;1;This work studied the emission changes and their economic effects during the Argentina's COVID-19 pandemic lockdown. We have analyzed the atmospheric emissions of the main greenhouse gases (GHG: CO 2, CH 4, and N 2 O) and other pollutants (NOx, CO, NMVOC …;https://www.mdpi.com/2071-1050/12/20/8661/pdf;https://scholar.google.com/scholar?q=related:TyzCaaV8IyYJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
11;A Akim, F Ayivodji;interaction effect of lockdown with economic and fiscal measures against covid-19 on social-distancing compliance evidence from africa;2020;Available at SSRN 3621693;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3621693;https://scholar.google.com/scholar?cites=14547474424475902671&as_sdt=2005&sciodt=2007&hl=en;18;16.12.2021 01:42;;;;;;;;;11;1100;6;2;1;The objective of this paper is to assess the impact of lockdown on human mobility based on a sample of Africa countries. Using a difference-in-difference (DiD) approach we find that lockdown causes a sharp decline in people's movement suggesting high compliance with …;https://www.researchgate.net/profile/Firmin-Ayivodji/publication/342063361_Interaction_Effect_of_Lockdown_with_Economic_and_Fiscal_Measures_against_COVID-19_on_Social-Distancing_Compliance_Evidence_from_Africa/links/5efe6248299bf18816fcccc4/Interaction-Effect-of-Lockdown-with-Economic-and-Fiscal-Measures-against-COVID-19-on-Social-Distancing-Compliance-Evidence-from-Africa.pdf;https://scholar.google.com/scholar?q=related:z2L3yekC48kJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
11;L Bellomarini, M Benedetti, A Gentili, ...;covid-19 and company knowledge graphs assessing golden powers and economic impact of selective lockdown via ai reasoning;2020;arXiv preprint arXiv …;arxiv.org;https://arxiv.org/abs/2004.10119;https://scholar.google.com/scholar?cites=5096632892351354024&as_sdt=2005&sciodt=2007&hl=en;26;16.12.2021 01:42;;;;;;;;;11;1100;3;4;1;In the COVID-19 outbreak, governments have applied progressive restrictions to production activities, permitting only those that are considered strategic or that provide essential services. This is particularly apparent in countries that have been stricken hard by the virus …;https://arxiv.org/pdf/2004.10119;https://scholar.google.com/scholar?q=related:qJQsy5zgukYJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
10;D Bienvenido-Huertas; benefits and economic aids to pay electricity bills remove the energy poverty risk of spanish family units during lockdown a study of covid-19-induced lockdown;2021;Energy Policy;Elsevier;https://www.sciencedirect.com/science/article/pii/S0301421520308284;https://scholar.google.com/scholar?cites=2233846951638633824&as_sdt=2005&sciodt=2007&hl=en;20;16.12.2021 01:42;;;;;;;;;10;1000;10;1;1;The COVID-19 pandemic has triggered serious economic crises in many countries. In Spain, millions of individuals have been ordered to remain at home and many are unemployed. The increased use of electrical appliances and low incomes make energy poverty highly …;;https://scholar.google.com/scholar?q=related:YI0Ck_c3AB8J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
9;N Shah, M Karguppikar, S Bhor, D Ladkat, ...;impact of lockdown for covid-19 pandemic in indian children and youth with type 1 diabetes from different socio-economic classes;2021;Journal of Pediatric …;degruyter.com;https://www.degruyter.com/document/doi/10.1515/jpem-2020-0460/html;https://scholar.google.com/scholar?cites=790861552148663797&as_sdt=2005&sciodt=2007&hl=en;15;16.12.2021 01:42;;10.1515/jpem-2020-0460;;;;;;;9;900;2;5;1;Abstract Objectives In March 2020, lockdown was imposed in India to combat spread of Coronavirus, which was extended till 31st May. Implementation of lockdown and limited outdoor activities resulted in changes in routines of children with diabetes. The aim of this …;;https://scholar.google.com/scholar?q=related:9c1VOmS0-QoJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
9;B Janzen, D Radulescu;electricity use as a real-time indicator of the economic burden of the covid-19-related lockdown evidence from switzerland;2020;CESifo Economic Studies;academic.oup.com;https://academic.oup.com/cesifo/article-abstract/66/4/303/5955860;https://scholar.google.com/scholar?cites=13646397637511927039&as_sdt=2005&sciodt=2007&hl=en;22;16.12.2021 01:42;;;;;;;;;9;900;5;2;1;We employ hourly electricity load data for Switzerland as a real-time indicator of the economic effects of the lockdown following the spread of SARS-CoV-2. Our findings reveal that following the drastic lockdown, overall electricity use decreased by 4.6%, with a …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7797724/;https://scholar.google.com/scholar?q=related:_9Sgf1m-Yb0J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
8;Q Grafton, T Kompas, J Parslow, K Glass, E Banks, ...;health and economic effects of covid-19 control in australia modelling and quantifying the payoffs of hard versus soft lockdown;2020;medRxiv;medrxiv.org;https://www.medrxiv.org/content/10.1101/2020.08.31.20185587v1.abstract;https://scholar.google.com/scholar?cites=3129058955147265324&as_sdt=2005&sciodt=2007&hl=en;34;16.12.2021 01:42;;10.1101/2020.08.31.20185587v1.abstract;;;;;;;8;800;1;6;1;Objective (s): Australia requires high quality evidence to optimise likely health and economy outcomes to effectively manage the current resurgence of COVID-19. We hypothesise that the most stringent social distancing (SD) measures (100% of level in Australia in April 2020) …;https://www.medrxiv.org/content/medrxiv/early/2020/09/02/2020.08.31.20185587.full.pdf;https://scholar.google.com/scholar?q=related:LMXOjoqmbCsJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
8;J Chag, S Chaudhury, D Saldanha;economic and psychological impact of covid-19 lockdown strategies to combat the crisis;2020;Industrial Psychiatry Journal;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8188913/;https://scholar.google.com/scholar?cites=12171476696669980210&as_sdt=2005&sciodt=2007&hl=en;50;16.12.2021 01:42;HTML;;;;;;;;8;800;3;3;1;The economic impact of the COVID-19 pandemic on India has been devastating. India's growth forecast for the fiscal year 2021 by World Bank, International Monetary Fund (IMF) and various credit rating agencies have touched rock bottom. These are likely to be the …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8188913/;https://scholar.google.com/scholar?q=related:Mob1gJHF6agJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
8;A Kumar;covid-19 crisis understanding the state of economy during and after the lockdown;2020;Economic and Political Weekly;;;https://scholar.google.com/scholar?cites=1656642076709752125&as_sdt=2005&sciodt=2007&hl=en;59;16.12.2021 01:40;CITATION;;;;;;;;8;800;8;1;1;;;https://scholar.google.com/scholar?q=related:PQ1ABjGT_RYJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
7;IA Kira, HAM Shuwiekh, JS Ashby, KG Rice, ...;measuring covid-19 stressors and their impact the second-order factor model and its four first-order factors infection fears economic grief and lockdown ;2021;Journal of Loss and …;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/15325024.2021.1920270;https://scholar.google.com/scholar?cites=15447052617339306768&as_sdt=2005&sciodt=2007&hl=en;14;16.12.2021 01:42;;10.1080/15325024.2021.1920270;;;;;;;7;700;1;5;1;The current research aims to test the new measurement model of COVID-19 stressors which includes four stressor types: infection fears, lockdown, economic, and grief in one second-order factor. Using a sample of 2732 from 11 Arab countries and measures for COVID-19 …;;https://scholar.google.com/scholar?q=related:EANHc4P0XtYJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
7;O Karin, YM Bar-On, T Milo, I Katzir, A Mayo, Y Korem, ...;adaptive cyclic exit strategies from lockdown to suppress covid-19 and allow economic activity medrxiv 2020;2020;Available at doi. org/10.1101 …;;;https://scholar.google.com/scholar?cites=713847683197759602&as_sdt=2005&sciodt=2007&hl=en;104;16.12.2021 01:42;CITATION;;;;;;;;7;700;1;7;1;;;https://scholar.google.com/scholar?q=related:cvC8jK8Y6AkJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
7;HH Mishra;coronavirus in india covid-19 lockdown may cost the economy rs 876 lakh crore heres how;2020;Business Today;;;https://scholar.google.com/scholar?cites=9166924119219115603&as_sdt=2005&sciodt=2007&hl=en;56;16.12.2021 01:40;CITATION;;;;;;;;7;700;7;1;1;;;https://scholar.google.com/scholar?q=related:UxYEAet0N38J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
6;M Pollak, N Kowarz, J Partheymüller;chronology of the corona crisis in austria-part 1 background the way to the lockdown the acute phase and economic consequences;2020;Austrian Corona Panel Project;;;https://scholar.google.com/scholar?cites=1446091871591588684&as_sdt=2005&sciodt=2007&hl=en;3;16.12.2021 02:09;CITATION;;;;;;;;6;600;2;3;1;;;https://scholar.google.com/scholar?q=related:TOPLPuWMERQJ:scholar.google.com/&scioq=intitle:corona+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
6;S Sardar, I Abdul-Khaliq, A Ingar, ...; comparison between the united kingdom and indiaa commentary on the socio-economic implications of the coronavirus and covid-19 pandemic a review;2020;… Journal of Surgery …;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7524532/;https://scholar.google.com/scholar?cites=7573543185015543768&as_sdt=2005&sciodt=2007&hl=en;21;16.12.2021 01:42;HTML;;;;;;;;6;600;2;4;1;Please cite this article as: Sardar S, Abdul-Khaliq I, Ingar A, Amaidia H, Mansour N,'COVID-19 Lockdown: A protective measure or exacerbator of health inequalities? A comparison between the United Kingdom and India.'A commentary on “The socio-economic implications …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7524532/;https://scholar.google.com/scholar?q=related:2JfugWahGmkJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
