Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
4;SV Kumar;a study on adept soft skill  knowledge accompanying hospitality employee retention behavior during covid-19 lockdown phase;2021;Anais Brasileiros de Estudos Turísticos-ABET;periodicos.ufjf.br;https://periodicos.ufjf.br/index.php/abet/article/view/33309;https://scholar.google.com/scholar?cites=12871879716817913764&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:37;;;;;;;;;4;400;4;1;1;Este artigo fala sobre a aceitabilidade, os desafios e as sugestões dos funcionários do hotel através de pesquisas acadêmicas sobre alfabetização digital. A pesquisa pretende estudar a correlação entre o treinamento personalizado personalizado por organizações ea auto …;https://periodicos.ufjf.br/index.php/abet/article/download/33309/22059;https://scholar.google.com/scholar?q=related:pMd8gGcaorIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hospitality+intitle:lockdown&hl=en&as_sdt=2007
4;ES Turnea, ?A Ne?tian, SM Ti??, AI Vod?, AL Gu??;dismissals and temporary leaves in romanian companies in the context of low demand and cash flow problems during the covid-19 economic lockdown;2020;Sustainability;mdpi.com;https://www.mdpi.com/868676;https://scholar.google.com/scholar?cites=13621259052983613140&as_sdt=2005&sciodt=2007&hl=en;41;16.12.2021 01:42;;;;;;;;;4;400;1;5;1;The aim of this study is to describe the relations between low demand, cash flow problems, employee dismissals, and temporary leaves experienced by Romanian companies during the economic lockdown in the first two months of the COVID-19 pandemic outbreak in …;https://www.mdpi.com/2071-1050/12/21/8850/pdf;https://scholar.google.com/scholar?q=related:1HaprvBuCL0J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
4;M Richiardi, P Bronka, D Collado;the economic consequences of covid-19 lockdown in the uk an input-output analysis using consensus scenarios;2020;;iser.essex.ac.uk;https://www.iser.essex.ac.uk/files/news/2020/consensus/employment-effects-covid-19-uk-v2.pdf;https://scholar.google.com/scholar?cites=11158932360737605236&as_sdt=2005&sciodt=2007&hl=en;43;16.12.2021 01:42;PDF;;;;;;;;4;400;1;3;1;We develop a dynamic input-output model for the UK that allows considering both demand-side and supply-side constraints. We then parameterise it with the results of a consensus analysis of the effects of the Covid-19 lock-down on final demand and supply in key …;https://www.iser.essex.ac.uk/files/news/2020/consensus/employment-effects-covid-19-uk-v2.pdf;https://scholar.google.com/scholar?q=related:dEZgCtx93JoJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
4;A Nyabunze, T Siavhundu;economic impact of covid-19 induced lockdown in zimbabwe;2020;Diverse Journal of …;diverseresearchjournals.com;https://diverseresearchjournals.com/djmr/wp-content/uploads/2021/02/economic-impact-of-covid-19-induced-lockdown-in-zimbabwe.pdf;https://scholar.google.com/scholar?cites=4550119321704847691&as_sdt=2005&sciodt=2007&hl=en;45;16.12.2021 01:42;PDF;;;;;;;;4;400;2;2;1;Economic Impact of COVID-19 Induced Lockdown in Zimbabwe. The government of China officially declared the outbreak of COVID-19 on the 9th of January 2020. The virus spread more rapidly to many parts of the world and the WHO declared COVID-19 a pandemic on the …;https://diverseresearchjournals.com/djmr/wp-content/uploads/2021/02/economic-impact-of-covid-19-induced-lockdown-in-zimbabwe.pdf;https://scholar.google.com/scholar?q=related:S9nbX2pFJT8J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
4;X Huo, Z Qiu;how does chinas stock market react to the announcement of the covid-19 pandemic lockdown economic and political studies 8 4 436-461;2020;;;;https://scholar.google.com/scholar?cites=10603271988029276993&as_sdt=2005&sciodt=2007&hl=en;108;16.12.2021 01:42;CITATION;;;;;;;;4;400;2;2;1;;;https://scholar.google.com/scholar?q=related:QcNVz7FjJpMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
4;A Atalan;erratum to is the lockdown important to prevent the covid-19 pandemic effects on psychology environment and economy-perspectiveann med surg 56 2020 ;2020;Annals of Medicine and Surgery;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7346832/;https://scholar.google.com/scholar?cites=6178508088437838302&as_sdt=2005&sciodt=2007&hl=en;10;16.12.2021 01:40;;;;;;;;;4;400;4;1;1;"… Effects on psychology, environment and economy-perspective” [Ann. Med. Surg. … This corrects the article ""Is the lockdown important to prevent the COVID-19 pandemic? Effects on psychology, environment and economy-perspective"" in volume 56 on page 38. …";;https://scholar.google.com/scholar?q=related:3hE3DV94vlUJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
4;A Srivastava;168 of 326 non-coronavirus deaths till 9 may were suicides finds report covid-19 lockdown may cost us dearer than economy warn psychiatrists;2020;The First Post;;;https://scholar.google.com/scholar?cites=15825874270799215469&as_sdt=2005&sciodt=2007&hl=en;58;16.12.2021 01:40;CITATION;;;;;;;;4;400;4;1;1;;;https://scholar.google.com/scholar?q=related:bTv72szMoNsJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
4;HH Mishra;coronavirus in india covid-19 lockdown may cost the economy rs 876 lakh crore heres how march 28 2020;2020;Business Today;;;https://scholar.google.com/scholar?cites=8275856678528944771&as_sdt=2005&sciodt=2007&hl=en;60;16.12.2021 01:40;CITATION;;;;;;;;4;400;4;1;1;;;https://scholar.google.com/scholar?q=related:gwrDP82_2XIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
4;M Kumar;choking the lifeline of the rural economy mgnregs during the covid-19 lockdown;2020;;SSER Monograph;;https://scholar.google.com/scholar?cites=2062485085467858256&as_sdt=2005&sciodt=2007&hl=en;62;16.12.2021 01:40;CITATION;;;;;;;;4;400;4;1;1;;;https://scholar.google.com/scholar?q=related:UFXa-UFrnxwJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
4;BS Mehta, A Kumar;covid-19 lockdown impact estimating the job losses in indias informal economy;2020;;;;https://scholar.google.com/scholar?cites=3406897200253500337&as_sdt=2005&sciodt=2007&hl=en;67;16.12.2021 01:40;CITATION;;;;;;;;4;400;2;2;1;;;https://scholar.google.com/scholar?q=related:sfth__O6Ry8J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
4;AL Singh, S Jamal, WS Ahmad;impact assessment of lockdown amid covid-19 pandemic on tourism industry of kashmir valley india;2021;Research in Globalization;Elsevier;https://www.sciencedirect.com/science/article/pii/S2590051X21000186;https://scholar.google.com/scholar?cites=9566834374705375538&as_sdt=2005&sciodt=2007&hl=en;5;16.12.2021 01:33;HTML;;;;;;;;4;400;1;3;1;The term tourism includes those people that travel to different places, either locally, nationally or globally for vacation and relaxation, but also for social or economic motives. It is one of the progressive industries whose activities influence the economies of various …;https://www.sciencedirect.com/science/article/pii/S2590051X21000186;https://scholar.google.com/scholar?q=related:MmlPMS05xIQJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:lockdown&hl=en&as_sdt=2007
4;S Becken, KF Hughey;impacts of changes to business travel practices in response to the covid-19 lockdown in new zealand;2021;Journal of Sustainable Tourism;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/09669582.2021.1894160;https://scholar.google.com/scholar?cites=9755782182395837602&as_sdt=2005&sciodt=2007&hl=en;8;16.12.2021 01:40;;10.1080/09669582.2021.1894160;;;;;;;4;400;2;2;1;Air travel forms a substantial component of an organisation's carbon profile, and questions around business travel are becoming more pertinent given the accelerating climate crisis. The current coronavirus pandemic, however, has effectively stopped much travel and …;;https://scholar.google.com/scholar?q=related:ovzJ3zSAY4cJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
3;KR Jain, A Dhyanib;covid-19 impact on the indian economy a review of uttarakhands travel tourism and hospitality sector;2020;INTERNATIONAL JOURNALOF TRADE & …;researchgate.net;https://www.researchgate.net/profile/Md-Zahir-Uddin-Arif/publication/343820486_Marketing_System_of_Plastic_Door/links/5f8d5603458515b7cf8b66b6/Marketing-System-of-Plastic-Door.pdf#page=109;https://scholar.google.com/scholar?cites=11591662575409225064&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:37;PDF;;;;;;;;3;300;2;2;1;This study examines the impact of COVID-19 on the Indian Economy with reference to travel, tourism and hospitality sector in Uttarakhand. The outbreak of corona virus in China shook the world due to its adverse impact on the global economy. The corona virus pandemic is …;https://www.researchgate.net/profile/Md-Zahir-Uddin-Arif/publication/343820486_Marketing_System_of_Plastic_Door/links/5f8d5603458515b7cf8b66b6/Marketing-System-of-Plastic-Door.pdf#page=109;https://scholar.google.com/scholar?q=related:aN10c7Lb3aAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hospitality+intitle:economy&hl=en&as_sdt=2007
3;ML Polemis;national lockdown under covid-19 and hotel performance;2021;Annals of Tourism Research Empirical Insights;Elsevier;;https://scholar.google.com/scholar?cites=14352402931052935410&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:38;CITATION;;;;;;;;3;300;3;1;1;;;https://scholar.google.com/scholar?q=related:8nivamz6LccJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hotel+intitle:lockdown&hl=en&as_sdt=2007
3;J Yang, C Yang;economic policy uncertainty covid-19 lockdown and firm-level volatility evidence from china;2021;Pacific-Basin Finance Journal;Elsevier;https://www.sciencedirect.com/science/article/pii/S0927538X21001049;https://scholar.google.com/scholar?cites=7544297484055239283&as_sdt=2005&sciodt=2007&hl=en;37;16.12.2021 01:42;;;;;;;;;3;300;2;2;1;To explain how firm-level volatility responds to the COVID-19 pandemic shock through the economic policy uncertainty (EPU) channel, we examine the two-dimension variations of stock volatility under the impact of COVID-19 pandemic and two types of EPU: measured by …;;https://scholar.google.com/scholar?q=related:c1r8IJe6smgJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
3;A Ferchiou, R Bornet, G Lhermie, ...;individual behaviors and covid-19 lockdown exit strategy a mid-term multidimensional bio-economic modeling approach;2020;Frontiers in public …;ncbi.nlm.nih.gov;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7705347/;https://scholar.google.com/scholar?cites=3997126927495303535&as_sdt=2005&sciodt=2007&hl=en;19;16.12.2021 01:42;HTML;;;;;;;;3;300;1;4;1;As of mid-2020, eradicating COVID-19 seems not to be an option, at least in the short term. The challenge for policy makers consists of implementing a suitable approach to contain the outbreak and limit extra deaths without exhausting healthcare forces while mitigating the …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7705347/;https://scholar.google.com/scholar?q=related:b5GBS8OleDcJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
3;OI Wale-Awe;the covid-19 pandemic lockdown curtailing the negative economic impacts;2020;BizEcons Quarterly;ideas.repec.org;https://ideas.repec.org/a/ris/buecqu/0016.html;https://scholar.google.com/scholar?cites=5976613813197363096&as_sdt=2005&sciodt=2007&hl=en;38;16.12.2021 01:42;;;;;;;;;3;300;3;1;1;This paper traces the history of pandemics over the last 2,000 years and determines the adverse economic effects of the current Covid-19 on the ten largest economies in the world today, bringing out an association between economic development and the spread of the …;;https://scholar.google.com/scholar?q=related:mFdS_5gy8VIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
3;T Das, D Das;covid-19 and economic loss of first phase of 21-day lockdown in india;2020;Space and Culture, India;spaceandculture.in;https://spaceandculture.in/index.php/spaceandculture/article/view/844;https://scholar.google.com/scholar?cites=17899350771140021308&as_sdt=2005&sciodt=2007&hl=en;40;16.12.2021 01:42;;;;;;;;;3;300;2;2;1;Abstract To curb Covid-19 spread, Prime Minister Narendra Modi has announced a 21-day nationwide lockdown on 23 March 2020. The present study makes an attempt to estimate the state-wise and economic activity-wise economic loss of 21-day lockdown in India. The …;https://spaceandculture.in/index.php/spaceandculture/article/download/844/388;https://scholar.google.com/scholar?q=related:PEzqB7FEZ_gJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
3;A Gupta, H Zhu, MK Doan, A Michuda, ...;economic burden of covid-19 lockdown on the poor;2020;Available at SSRN …;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3642987;https://scholar.google.com/scholar?cites=9509263230459410742&as_sdt=2005&sciodt=2007&hl=en;57;16.12.2021 01:42;;;;;;;;;3;300;1;5;1;The COVID-19 pandemic caused the largest number of lockdowns across the globe, affecting nearly half of the world's population by the first week of April 2020. The biggest lockdown was the one declared by the Indian government. All economic activity was shut …;https://www.researchgate.net/profile/Anubhab-Gupta/publication/342721803_Economic_Burden_of_COVID-19_Lockdown_on_the_Poor/links/5fc9e05c45851568d13a84ac/Economic-Burden-of-COVID-19-Lockdown-on-the-Poor.pdf;https://scholar.google.com/scholar?q=related:Nnk3n4aw94MJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
3;R Wemesa, C Wagima, I Bakaki, ...;the economic impact of the lockdown due to covid-19 pandemic on low income households of the five divisions of kampala district in uganda;2020;Open Journal of Business …;scirp.org;https://www.scirp.org/html/13-1531318_101421.htm;https://scholar.google.com/scholar?cites=4396271079367450344&as_sdt=2005&sciodt=2007&hl=en;76;16.12.2021 01:42;HTML;;;;;;;;3;300;1;4;1;The impact of the nationwide lockdown due to COVID-19 pandemic is causing tremendous and continuing hardships to low income Ugandans specifically the casual worker's section that earns and spends on a daily basis. Households in the lowest income brackets are the …;https://www.scirp.org/html/13-1531318_101421.htm;https://scholar.google.com/scholar?q=related:6B4FFkGxAj0J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
3;F Tih;african countries ease covid-19 lockdown restrictions-governments say there is need to resume economic activities with imperative to contain virus;2020;;;;https://scholar.google.com/scholar?cites=14689119205670142253&as_sdt=2005&sciodt=2007&hl=en;105;16.12.2021 01:42;CITATION;;;;;;;;3;300;3;1;1;;;https://scholar.google.com/scholar?q=related:LUFWXRc82ssJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
3;V Rawal, A Verma; during the covid-19 lockdown a study of market arrivals of seven key food commodities sser monograph 20/1 society for social and economic ;2020;;;;https://scholar.google.com/scholar?cites=16932889033161299095&as_sdt=2005&sciodt=2007&hl=en;106;16.12.2021 01:42;CITATION;;;;;;;;3;300;2;2;1;;;https://scholar.google.com/scholar?q=related:l9Svgty0_eoJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
3;R Pongou, G Tchuente, JB Tondji;an economic model of health-vswealth prioritization during covid-19 optimal lockdown network centrality;2020;;… Rep.). National Institute of Economic …;;https://scholar.google.com/scholar?cites=4021271949112645037&as_sdt=2005&sciodt=2007&hl=en;114;16.12.2021 01:42;CITATION;;;;;;;;3;300;1;3;1;;;https://scholar.google.com/scholar?q=related:rRUaOIhtzjcJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
3;A Rahman, NA Zaman;  f bhuiyane z y zolkiplia mf 2020 data-driven dynamic clustering framework for mitigating the adverse economic impact of covid-19 lockdown ;;Sustainable Cities and Society;;;https://scholar.google.com/scholar?cites=13241013582145640093&as_sdt=2005&sciodt=2007&hl=en;111;16.12.2021 01:42;CITATION;;;;;;;;3;0;2;2;;;;https://scholar.google.com/scholar?q=related:ndbp9bKHwbcJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
3;C Arndt, S Gabriel, S Robinson;assessing the toll of covid-19 lockdown measures on the south african economy;2020;IFPRI book chapters;ideas.repec.org;https://ideas.repec.org/h/fpr/ifpric/133840.html;https://scholar.google.com/scholar?cites=9574650312885827554&as_sdt=2005&sciodt=2007&hl=en;17;16.12.2021 01:40;;;;;;;;;3;300;1;3;1;In trying to limit the spread of COVID-19, policymakers are confronting the difficult task of balancing the positive health effects of lockdowns against their economic costs â€” particularly the burdens imposed on low-income and food-insecure households. South …;;https://scholar.google.com/scholar?q=related:4nckHLv934QJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
3;S Roy, N Chowdhury, MMM Bhuyan;covid-19 induced lockdown consequences on air quality and economy-a case study of bangladesh;2020;Journal of Environment …;researchgate.net;https://www.researchgate.net/profile/Nasrin-Chowdhury/publication/348994518_COVID-19_Induced_Lockdown_Consequences_on_Air_Quality_and_Economy_-A_Case_Study_of_Bangladesh/links/601a5bc192851c4ed545f9e9/COVID-19-Induced-Lockdown-Consequences-on-Air-Quality-and-Economy-A-Case-Study-of-Bangladesh.pdf;https://scholar.google.com/scholar?cites=15066365871895294104&as_sdt=2005&sciodt=2007&hl=en;32;16.12.2021 01:40;PDF;;;;;;;;3;300;1;3;1;The present study involves the investigation of air quality of Dhaka city, Bangladesh, before and during the periods of lockdown imposed to reduce the spread of a novel coronavirus (COVID-19) and comparison of data in corresponding periods of two previous years. Further …;https://www.researchgate.net/profile/Nasrin-Chowdhury/publication/348994518_COVID-19_Induced_Lockdown_Consequences_on_Air_Quality_and_Economy_-A_Case_Study_of_Bangladesh/links/601a5bc192851c4ed545f9e9/COVID-19-Induced-Lockdown-Consequences-on-Air-Quality-and-Economy-A-Case-Study-of-Bangladesh.pdf;https://scholar.google.com/scholar?q=related:mDBjeu97FtEJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
3;D Paul;covid-19 impact of the lockdown in the indian economy;2020;… of Symbiosis International (Deemed University https …;;;https://scholar.google.com/scholar?cites=1289260892648071609&as_sdt=2005&sciodt=2007&hl=en;53;16.12.2021 01:40;CITATION;;;;;;;;3;300;3;1;1;;;https://scholar.google.com/scholar?q=related:uWEXefNf5BEJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
3;S Gukurume, M Oosterom;the impact of the covid-19 lockdown on zimbabwes informal economy;2020;Brighton: Sussex Institute of Development Studies (IDS …;;;https://scholar.google.com/scholar?cites=5011909104162269546&as_sdt=2005&sciodt=2007&hl=en;61;16.12.2021 01:40;CITATION;;;;;;;;3;300;2;2;1;;;
3;A Pinto, A Bhowmick, R Adlakha;how did indias rural economy fare through the covid-19 lockdown and the re-opening;2020;Report, World Bank;;;https://scholar.google.com/scholar?cites=2482846651751706764&as_sdt=2005&sciodt=2007&hl=en;66;16.12.2021 01:40;CITATION;;;;;;;;3;300;1;3;1;;;https://scholar.google.com/scholar?q=related:jLBtBeDXdCIJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
3;B Mehta, K Arjun;covid-19 and the lockdown impact estimating the unemployment and job losses in indias informal economy;2020;Times Of India Blog;;;https://scholar.google.com/scholar?cites=1773471877702602416&as_sdt=2005&sciodt=2007&hl=en;68;16.12.2021 01:40;CITATION;;;;;;;;3;300;2;2;1;;;https://scholar.google.com/scholar?q=related:sM6byUajnBgJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
3;ZS Al-Hasni;the economic impact of covid-19 on the omani tourism sector;2021;Psychology and Education Journal;psychologyandeducation.net;http://psychologyandeducation.net/pae/index.php/pae/article/view/1946;https://scholar.google.com/scholar?cites=16140374868351002321&as_sdt=2005&sciodt=2007&hl=en;57;16.12.2021 01:42;;;;;;;;;3;300;3;1;1;The COVID-19 pandemic has continued to cripple the tourism sector globally. The Omani tourism sector is not an exception. However, there are no empirical studies focusing on how Oman's tourism sector has been affected by the COVID-19 pandemic. This study aimed to …;http://psychologyandeducation.net/pae/index.php/pae/article/download/1946/1708;https://scholar.google.com/scholar?q=related:0Sa0aW0h_t8J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
3;S Jobs, ET Travel;tourism/a call for action to mitigate the socio-economic impact of covid-19 and accelerate recovery;2020;????? ???????: https://www. e-unwto. org/doi/book …;;;https://scholar.google.com/scholar?cites=3980231373965143453&as_sdt=2005&sciodt=2007&hl=en;77;16.12.2021 01:42;CITATION;;;;;;;;3;300;2;2;1;;;https://scholar.google.com/scholar?q=related:na0OsVifPDcJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
3;BN Gopalakrishnan, R Peters, D Vanzetti;covid-19 and tourism assessing the economic consequences united nations conference on trade and development;2020;;;;https://scholar.google.com/scholar?cites=1161193963133084218&as_sdt=2005&sciodt=2007&hl=en;80;16.12.2021 01:42;CITATION;;;;;;;;3;300;1;3;1;;;https://scholar.google.com/scholar?q=related:OiLg18FjHRAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
3;LCS Ribeiro, GF Santos, RB Cerqueira, KB Souza;economic impact of covid-19 on tourism in brazil;;researchgate.net;;https://www.researchgate.net/profile/Luiz-Carlos-Ribeiro-2/publication/341805042_Economic_impact_of_Covid-19_on_tourism_in_Brazil/links/5ed5952f92851c9c5e722f50/Economic-impact-of-Covid-19-on-tourism-in-Brazil.pdf;https://scholar.google.com/scholar?cites=4885275072152557942&as_sdt=2005&sciodt=2007&hl=en;60;16.12.2021 01:42;PDF;;;;;;;;3;0;1;4;;This research note aims to estimate the economic impact of pandemic COVID-19 on the tourism sector in Brazil. Tourist activities were the first to be strongly affected by the pandemic, and these impacts are expected to be the most prolonged among economic …;https://www.researchgate.net/profile/Luiz-Carlos-Ribeiro-2/publication/341805042_Economic_impact_of_Covid-19_on_tourism_in_Brazil/links/5ed5952f92851c9c5e722f50/Economic-impact-of-Covid-19-on-tourism-in-Brazil.pdf;https://scholar.google.com/scholar?q=related:dlm5ecv7y0MJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
3;RR Peterson, RB DiPietro; impact of the covid-19 pandemic on the perceptions and sentiments of tourism employees evidence from a small island tourism economy in the caribbean;2021;International Hospitality Review;emerald.com;https://www.emerald.com/insight/content/doi/10.1108/IHR-10-2020-0063/full/html;https://scholar.google.com/scholar?cites=12118007554537759492&as_sdt=2005&sciodt=2007&hl=en;8;16.12.2021 01:34;HTML;10.1108/IHR-10-2020-0063;;;;;;;3;300;2;2;1;Purpose Building on tourism crisis studies and behavioral economics, this study describes a national survey conducted among 439 Aruban tourism and nontourism employees. Design/methodology/approach Regression analysis was subsequently conducted to …;https://www.emerald.com/insight/content/doi/10.1108/IHR-10-2020-0063/full/html;https://scholar.google.com/scholar?q=related:BCO5uarPK6gJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economy&hl=en&as_sdt=2007
3;K Dube;implications of covid-19 induced lockdown on the south african tourism industry and prospects for recovery;2021;African Journal of Hospitality, Tourism and Leisure;ajhtl.com;https://www.ajhtl.com/uploads/7/1/6/3/7163688/article_18_10_1_270-287.pdf;https://scholar.google.com/scholar?cites=17111378814356066161&as_sdt=2005&sciodt=2007&hl=en;3;16.12.2021 01:33;PDF;;;;;;;;3;300;3;1;1;South Africa has one of the largest and most developed tourism markets in Southern Africa. Consequently, the sector's performance, therefore, has implications on the regional tourism market. In the advent of COVID-19, South Africa emerged as one of the global and regional …;https://www.ajhtl.com/uploads/7/1/6/3/7163688/article_18_10_1_270-287.pdf;https://scholar.google.com/scholar?q=related:cY_WJl_Ud-0J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:lockdown&hl=en&as_sdt=2007
3;T Schuler;impact of the covid-19 lockdown on trade in travel services;2020;Economic Bulletin Boxes;ideas.repec.org;https://ideas.repec.org/a/ecb/ecbbox/202000041.html;https://scholar.google.com/scholar?cites=10691394182137801623&as_sdt=2005&sciodt=2007&hl=en;11;16.12.2021 01:40;;;;;;;;;3;300;3;1;1;The lockdown measures adopted to contain the coronavirus (COVID-19) pandemic and confidence effects are having a significant impact on euro area trade in services. Among several heterogeneous sectors, those involving physical contact are severely affected. The …;;https://scholar.google.com/scholar?q=related:l2sA_Fx2X5QJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
3;D Carrington;uk road travel falls to 1955 levels as covid-19 lockdown takes hold guardian april 3 2020;2020;;;;https://scholar.google.com/scholar?cites=4886201351108965905&as_sdt=2005&sciodt=2007&hl=en;23;16.12.2021 01:40;CITATION;;;;;;;;3;300;3;1;1;;;https://scholar.google.com/scholar?q=related:ETbimT1Gz0MJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
3;T Schuler;impact of the covid-19 lockdown on trade in travel services internet] european central bank 2020;;;;;https://scholar.google.com/scholar?cites=18224139573402471296&as_sdt=2005&sciodt=2007&hl=en;20;16.12.2021 01:40;CITATION;;;;;;;;3;0;3;1;;;;https://scholar.google.com/scholar?q=related:gAvL6WIm6fwJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
2;S Bilous, A Kras' ko, J Masjuk;economic consequences of the covid-19 dissemination for the hospitality industry;2020;Geography, Economics and Tourism: national and …;;;https://scholar.google.com/scholar?cites=10993671696259680727&as_sdt=2005&sciodt=2007&hl=en;11;16.12.2021 01:44;CITATION;;;;;;;;2;200;1;3;1;;;
2;H Seraphin, F Dosquet;mountain tourism and second home tourism as post covid-19 lockdown placebo worldwide hospitality and tourism;2020;;;;https://scholar.google.com/scholar?cites=14240367627209477896&as_sdt=2005&sciodt=2007&hl=en;10;16.12.2021 01:37;CITATION;;;;;;;;2;200;1;2;1;;;https://scholar.google.com/scholar?q=related:CA_Lgujyn8UJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:hospitality+intitle:lockdown&hl=en&as_sdt=2007
2;K Pinargote, T Loor;covid-19 and its economic impact on hotel companies in manta-ecuador;2021;ECA SINERGIA;;;https://scholar.google.com/scholar?cites=16456112668065046948&as_sdt=2005&sciodt=2007&hl=en;7;16.12.2021 01:45;CITATION;;;;;;;;2;200;1;2;1;;;
2;LP DC, JM Perth;peel sw in lockdown after hotel quarantine worker tests positive to covid-19;2021;;WAtoday;;https://scholar.google.com/scholar?cites=15449593665259524464&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:38;CITATION;;;;;;;;2;200;1;2;1;;;
