Country ISO3;Country Name;Indicator Id;Indicator;Subindicator Type;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028
ABW;Aruba;24658;Government spending on travel and Tourism service;Local currency  _in bn (Nominal prices);0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.04;0.04;0.05;0.05
ABW;Aruba;24659;Government spending on travel and Tourism service;Local currency in bn (Real prices);0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
ABW;Aruba;24660;Government spending on travel and Tourism service;US$ in bn (Nominal prices);0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.03
ABW;Aruba;24661;Government spending on travel and Tourism service;US$ in bn (Real prices);0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
ABW;Aruba;24662;Government spending on travel and Tourism service;% growth;35.716;-212.406;118.945;-282.293;924.828;207.393;110.003;0.706697;0.349486;177.041;131.385;-0.546664;-189.305;167.413;308.504;438.817;-0.399828;721.691;331.985;-570.731;-13.247;139.599;177.605;300.152;281.276;222.479;219.274;214.336;207.415;20.438;154.361;137.756;21.253;0.922084
ABW;Aruba;24663;Government spending on travel and Tourism service;% share of total tourism expenditure;173.691;18.511;157.144;146.753;158.285;159.149;160.173;161.345;161.826;162.468;163.311;164.161;165.014;165.872;166.734;16.76;168.471;169.347;170.227;171.111;17.2;172.894;173.792;174.695;175.603;176.515;177.432;178.354;179.281;180.212;181.148;182.089;183.035;183.986
ABW;Aruba;24664;Internal Travel and Tourism consumption;Local currency  _in bn (Nominal prices);106.769;127.331;139.401;150.708;150.978;163.492;159.261;160.516;165.621;2.016;209.793;20.589;234.001;260.227;235.775;243.359;263.158;274.076;290.274;31.407;321.152;319.276;313.998;322.774;340.794;361.276;384.117;407.757;432.789;455.953;480.267;501.589;523.957;546.434
ABW;Aruba;24665;Internal Travel and Tourism consumption;Local currency in bn (Real prices);178.404;206.165;219.206;232.519;227.769;237.053;218.605;210.797;213.051;253.861;255.596;243.705;26.202;277.954;24.533;255.796;268.531;277.482;300.652;31.962;320.832;32.183;313.998;316.445;325.963;335.489;346.311;356.917;367.794;376.194;384.714;390.092;395.619;400.575
ABW;Aruba;24666;Internal Travel and Tourism consumption;% share;242.218;273.183;27.296;275.317;265.152;285.628;274.921;272.713;267.921;299.835;282.577;266.352;282.746;297.198;299.017;320.294;313.732;33.113;34.413;368.367;376.013;36.778;336.657;324.135;32.484;327.959;331.885;33.476;338.612;339.044;341.883;342.714;342.675;343.357
ABW;Aruba;24667;Internal Travel and Tourism consumption;US$ in bn (Nominal prices);0.596478;0.711344;0.778776;0.841946;0.843451;0.913365;0.889726;0.89674;0.925258;112.626;117.203;115.022;130.727;145.378;131.718;135.955;147.016;153.115;162.164;175.458;179.415;178.366;175.418;18.032;190.388;20.183;214.591;227.797;241.782;254.722;268.306;280.217;292.713;305.271
ABW;Aruba;24668;Internal Travel and Tourism consumption;US$ in bn (Real prices);0.996669;115.176;122.462;129.899;127.245;132.432;122.126;117.764;119.023;141.822;142.791;136.148;14.638;155.282;137.056;142.903;150.017;155.018;167.962;178.559;179.236;179.793;175.418;176.785;182.102;187.424;19.347;199.395;205.471;210.164;214.924;217.928;221.016;223.785
ABW;Aruba;24669;Internal Travel and Tourism consumption;% growth;207.653;155.607;632.588;607.331;-204.315;407.612;-778.208;-357.186;106.937;191.549;0.683534;-465.233;751.526;608.139;-117.372;426.621;49.783;333.343;835.021;63.089;0.379097;0.311005;-243.358;0.779331;300.784;292.232;322.574;306.253;30.476;228.381;226.487;139.785;141.698;125.263
ABW;Aruba;24670;Capital investment in Travel and Tourism;Local currency  _in bn (Nominal prices);0.20943;0.25418;0.3759;0.27029;0.26492;0.18974;0.142663;0.117066;0.150181;0.22554;0.36695;0.45108;0.46003;0.49583;0.39917;0.395633;0.379901;0.35917;0.335214;0.33586;0.337077;0.341284;0.346067;0.35932;0.37462;0.393348;0.415133;0.438332;0.467063;0.492505;0.515288;0.535075;0.550913;0.569842
ABW;Aruba;24671;Capital investment in Travel and Tourism;Local currency in bn (Real prices);0.349942;0.41155;0.591098;0.417015;0.399665;0.27511;0.195822;0.153736;0.193189;0.284006;0.447064;0.533928;0.515114;0.529607;0.415348;0.415853;0.387658;0.363633;0.3472;0.341796;0.336741;0.344014;0.346067;0.352274;0.358317;0.365272;0.374274;0.383679;0.39692;0.406351;0.412767;0.416134;0.415973;0.417734
ABW;Aruba;24672;Capital investment in Travel and Tourism;% exports;313.049;392.253;485.659;317.242;294.644;23.529;185.854;132.766;153.244;210.129;274.134;295.596;302.254;303.446;29.459;319.575;292.007;29.708;302.267;308.979;315.026;319.047;316.989;314.899;313.157;31.391;316.064;318.537;324.187;326.606;328.088;327.637;322.038;32.179
ABW;Aruba;24673;Capital investment in Travel and Tourism;US$ in bn (Nominal prices);0.117;0.142;0.21;0.151;0.148;0.106;0.08;0.07;0.08;0.126;0.205;0.252;0.257;0.277;0.223;0.221024;0.212235;0.200653;0.187271;0.187631;0.188311;0.190661;0.193334;0.200737;0.209285;0.219748;0.231918;0.244878;0.260929;0.275142;0.287871;0.298925;0.307772;0.318348
ABW;Aruba;24674;Capital investment in Travel and Tourism;US$ in bn (Real prices);0.195498;0.229916;0.330223;0.232969;0.223276;0.153693;0.109398;0.09;0.107927;0.158663;0.249757;0.298284;0.287773;0.29587;0.232038;0.23232;0.216569;0.203147;0.193966;0.190947;0.188123;0.192187;0.193334;0.196801;0.200177;0.204063;0.209092;0.214346;0.221743;0.227012;0.230596;0.232477;0.232387;0.233371
ABW;Aruba;24675;Capital investment in Travel and Tourism;% growth;340.859;176.053;436.274;-294.509;-416.057;-311.648;-288.204;-214.921;256.629;470.093;574.137;194.298;-352.373;281.361;-215.744;0.121748;-678.019;-61.973;-451.922;-155.644;-147.894;215.977;0.596869;17.936;171.523;194.112;246.445;251.302;345.097;237.617;15.789;0.815737;-0.04;0.423503
ABW;Aruba;24676;Leisure Tourism Spending;Local currency  _in bn (Nominal prices);101.926;12.144;128.366;138.245;137.853;150.425;1.466;149.721;1.535;189.684;196.856;191.274;218.321;245.303;223.018;230.386;248.595;258.305;274.744;295.209;300.321;296.786;292.433;300.268;317.356;33.655;357.996;380.252;404.027;426.034;448.786;468.693;48.969;510.378
ABW;Aruba;24677;Leisure Tourism Spending;Local currency in bn (Real prices);170.311;196.627;201.854;213.291;207.969;218.107;201.227;19.662;197.458;238.855;239.835;226.405;244.463;262.014;232.057;24.216;25.367;261.515;284.567;300.427;300.021;29.916;292.433;294.381;303.545;312.528;32.276;332.841;343.351;351.508;359.496;364.508;369.746;374.143
ABW;Aruba;24678;Leisure Tourism Spending;% share;153.961;186.994;177.674;187.897;175.647;189.881;178.596;181.254;176.184;187.398;183.487;176.997;186.749;198.431;209.979;226.051;214.012;242.115;25.771;269.872;268.502;270.093;258.804;25.465;258.107;261.413;265.269;267.677;270.799;271.222;274.292;275.113;274.156;27.577
ABW;Aruba;24679;Leisure Tourism Spending;US$ in bn (Nominal prices);0.569421;0.678434;0.717127;0.77232;0.77013;0.840366;0.818996;0.836432;0.857541;105.969;109.975;106.857;121.967;137.041;124.591;128.707;13.888;144.304;153.488;164.921;167.777;165.802;163.371;167.748;177.294;188.017;199.998;212.431;225.714;238.008;250.718;261.839;27.357;285.127
ABW;Aruba;24680;Leisure Tourism Spending;US$ in bn (Real prices);0.951459;109.847;112.767;119.157;116.184;121.847;112.417;109.844;110.312;133.439;133.986;126.483;136.571;146.376;129.641;135.285;141.715;146.098;158.976;167.836;167.609;167.129;163.371;164.458;169.578;174.597;180.313;185.945;191.816;196.373;200.836;203.636;206.562;209.018
ABW;Aruba;24681;Leisure Tourism Spending;% growth;189.806;154.514;265.834;566.605;-24.952;487.478;-773.937;-22.891;0.426231;20.965;0.409935;-559.956;797.594;717.941;-114.334;435.384;475.305;309.238;881.509;55.731;-0.135056;-0.286827;-224.863;0.665916;311.311;295.934;327.405;312.325;315.782;237.565;227.252;139.401;143.701;118.928
ABW;Aruba;24682;Outbound Travel & Tourism Expenditure;Local currency  _in bn (Nominal prices);0.136786;0.220449;0.278581;0.241461;0.260465;0.282218;0.270606;0.296963;0.36704;0.429324;0.432611;0.416635;0.466662;0.473537;0.457859;0.441593;0.506251;0.519671;0.602446;0.620407;0.633835;0.586809;0.581288;0.592909;0.606477;0.630364;0.659904;0.698695;0.73769;0.781207;0.814115;0.844072;0.875846;0.893065
ABW;Aruba;24683;Outbound Travel & Tourism Expenditure;Local currency in bn (Real prices);0.228559;0.356934;0.438066;0.372536;0.392944;0.409197;0.37144;0.389984;0.47215;0.540617;0.52706;0.493157;0.52254;0.505796;0.476415;0.464162;0.516587;0.526129;0.623987;0.631371;0.633203;0.591503;0.581288;0.581284;0.580083;0.58537;0.594953;0.611579;0.626905;0.644552;0.65214;0.656444;0.661317;0.65468
ABW;Aruba;24684;Outbound Travel & Tourism Expenditure;US$ in bn (Nominal prices);0.08;0.123156;0.155632;0.134894;0.145511;0.157664;0.151177;0.165901;0.20505;0.239846;0.241682;0.232757;0.260705;0.264546;0.255787;0.2467;0.282822;0.290319;0.336562;0.346596;0.354098;0.327826;0.324742;0.331234;0.338814;0.352159;0.368662;0.390332;0.412117;0.436429;0.454813;0.471548;0.4893;0.498919
ABW;Aruba;24685;Outbound Travel & Tourism Expenditure;US$ in bn (Real prices);0.127686;0.199405;0.24473;0.208121;0.219522;0.228602;0.207508;0.217868;0.263771;0.30202;0.294447;0.275507;0.291922;0.282568;0.266154;0.259308;0.288596;0.293927;0.348596;0.352722;0.353745;0.330449;0.324742;0.32474;0.324069;0.327023;0.332376;0.341664;0.350226;0.360085;0.364324;0.366729;0.369451;0.365743
ABW;Aruba;24686;Outbound Travel & Tourism Expenditure;Percentage share of total GDP;57.862;892.504;101.598;8.1;844.622;841.569;78.727;854.677;101.444;107.638;103.681;959.988;996.928;963.649;102.361;10.32;110.923;114.541;130.371;130.805;131.066;123.408;119.008;116.337;114.258;113.502;11.343;114.186;114.879;115.685;115.881;115.595;114.633;113.029
ABW;Aruba;24687;Outbound Travel & Tourism Expenditure;% growth;179.541;561.675;227.301;-149.589;547.818;413.622;-922.718;499.236;210.693;145.009;-250.752;-643.261;595.819;-320.435;-580.888;-257.194;112.947;184.715;185.995;118.351;0.290047;-658.557;-172.701;0;-0.206528;0.911453;163.705;279.447;2.506;281.485;117.734;0.660004;0.742317;-100.366
ABW;Aruba;24688;Travel and Tourism total contribution to employment;% share of total employment;428.873;607.675;63.258;665.874;637.773;661.754;61.453;613.419;599.509;621.843;640.541;639.586;668.622;689.977;738.629;798.884;706.257;837.766;873.977;912.843;906.648;911.271;870.432;862.049;864.272;869.095;870.123;875.203;881.866;881.158;885.462;880.521;884.876;894.118
ABW;Aruba;24689;Travel and Tourism total contribution to employment;Thousands of jobs;166.831;24.431;25.837;275.084;266.131;277.438;259.023;260.231;250.894;271.246;286.081;286.042;306.742;316.546;325.433;349.914;316.635;375.121;403.034;424.379;425.041;42.583;419.558;415.231;41.627;417.397;419.798;420.459;421.752;418.855;417.409;414.904;412.108;411.133
ABW;Aruba;24690;Travel and Tourism total contribution to employment;% growth;953.429;464.414;575.521;646.896;-325.471;424.851;-663.728;0.46637;-358.814;811.181;546.935;-0.01;72.365;319.619;280.768;752.263;-951.068;18.471;744.106;529.622;0.155937;0.185684;-147.285;-103.133;0.250229;0.270546;0.575401;0.157402;0.307503;-0.686935;-0.345184;-0.600014;-0.674019;-0.236679
ABW;Aruba;24691;Travel and Tourism total contribution to GDP;Local currency  _in bn (Nominal prices);100.471;150.713;173.981;19.079;18.452;204.306;196.249;198.385;202.305;229.248;249.529;261.131;293.134;31.745;31.686;337.661;328.527;371.896;394.066;4.211;428.873;42.759;422.596;436.259;459.645;486.585;515.682;546.395;579.052;608.974;639.136;666.166;695.386;724.156
ABW;Aruba;24692;Travel and Tourism total contribution to GDP;Local currency in bn (Real prices);16.788;244.023;273.583;294.359;278.371;29.623;269.376;260.527;26.024;288.675;304.007;309.092;328.234;339.076;329.701;354.918;335.235;376.518;408.156;428.542;428.445;43.101;422.596;427.705;439.642;451.854;464.927;478.269;492.091;502.447;511.975;518.085;525.059;530.857
ABW;Aruba;24693;Travel and Tourism total contribution to GDP;Percentage share of total GDP;425.006;610.173;634.503;640.021;598.351;609.237;570.944;570.964;55.914;574.756;598.032;601.685;626.221;646.012;708.383;789.112;719.823;819.696;852.772;887.835;886.834;899.234;865.184;85.6;865.954;876.131;886.402;892.964;901.745;901.796;909.745;912.307;910.139;916.512
ABW;Aruba;24694;Travel and Tourism total contribution to GDP;US$ in bn (Nominal prices);0.561293;0.84197;0.971959;106.587;103.084;114.138;109.636;11.083;113.019;128.071;139.402;145.883;163.762;177.346;177.017;188.637;183.535;207.763;220.149;235.251;239.594;238.877;236.087;24.372;256.785;271.835;288.091;305.249;323.493;340.209;357.059;37.216;388.484;404.556
ABW;Aruba;24695;Travel and Tourism total contribution to GDP;US$ in bn (Real prices);0.937878;136.326;152.839;164.447;155.515;165.492;150.489;145.546;145.385;161.271;169.837;172.677;183.371;189.428;184.191;198.278;187.282;210.345;22.802;239.409;239.355;240.788;236.087;238.941;24.561;252.432;259.736;267.189;274.911;280.697;286.019;289.433;293.329;296.568
ABW;Aruba;24696;Travel and Tourism total contribution to GDP;% growth;964.606;453.555;121.134;759.437;-543.147;641.552;-906.542;-328.474;-0.110474;109.266;531.126;167.255;619.285;330.309;-276.466;764.832;-554.585;123.147;840.289;499.474;-0.02;0.598763;-195.229;120.902;279.089;277.769;289.317;286.976;289.008;210.442;189.625;119.347;134.615;110.433
ABW;Aruba;24697;Visitor Exports (Foreign spending);Local currency  _in bn (Nominal prices);0.991215;119.125;129.841;140.702;139.916;152.241;147.676;149.447;153.598;18.913;196.388;1.904;217.005;241.999;218.795;224.419;242.957;25.275;269.628;290.598;296.505;292.787;287.075;294.914;312.034;331.203;352.651;37.475;398.329;419.953;442.704;462.498;483.028;503.692
ABW;Aruba;24698;Visitor Exports (Foreign spending);Local currency in bn (Real prices);165.624;192.879;204.174;217.081;21.108;22.074;202.704;196.261;197.585;238.157;239.264;225.371;242.989;258.485;227.663;235.889;247.917;255.891;279.268;295.733;296.209;295.129;287.075;289.131;298.455;307.563;317.941;328.025;338.508;346.491;354.625;35.969;364.715;369.242
ABW;Aruba;24699;Visitor Exports (Foreign spending);% exports;494.125;55.666;573.758;59.268;567.499;610.304;609.514;66.239;672.711;728.596;686.632;666.202;700.695;727.379;766.895;859.186;784.997;853.884;850.829;877.143;869.515;797.177;754.708;736.932;74.094;746.293;754.941;762.967;77.297;772.468;777.152;778.182;78.002;77.592
ABW;Aruba;24700;Visitor Exports (Foreign spending);US$ in bn (Nominal prices);0.553751;0.665504;0.725371;0.786046;0.781652;0.850511;0.825008;0.834902;0.85809;105.659;109.714;106.369;121.232;135.195;122.232;125.374;13.573;141.201;15.063;162.345;165.645;163.568;160.377;164.756;174.321;18.503;197.012;209.358;22.253;234.611;247.321;258.379;269.848;281.392
ABW;Aruba;24701;Visitor Exports (Foreign spending);US$ in bn (Real prices);0.925276;107.754;114.064;121.274;117.922;123.318;113.242;109.643;110.383;133.049;133.667;125.905;135.748;144.405;127.186;131.782;138.501;142.956;156.016;165.214;16.548;164.876;160.377;161.526;166.734;171.823;177.621;183.254;189.111;19.357;198.114;200.944;203.752;20.628
ABW;Aruba;24702;Visitor Exports (Foreign spending);% growth;214.389;164.556;585.609;63.217;-27.645;457.628;-817.073;-317.863;0.674736;205.341;0.46492;-580.682;781.771;637.691;-119.241;36.134;509.904;321.632;913.573;589.578;0.160706;-0.364525;-272.891;0.716171;322.472;305.165;337.454;317.155;319.591;235.821;23.474;142.835;139.719;124.104
AGO;Angola;24637;Business Tourism Spending;Local currency in bn (Real prices);377.184;610.645;510.318;138.331;980.937;538.049;122.546;116.973;121.345;117.235;106.54;826.497;886.822;81.486;125.697;128.085;111.917;132.772;176.305;220.826;213.968;132.444;139.451;147.587;155.473;160.925;164.766;167.612;170.382;171.988;173.787;175.676;178.533;181.314
AGO;Angola;24638;Business Tourism Spending;Local currency  _in bn (Nominal prices);0;0.01;0.01;0.05;0.223372;0.634942;298.372;868.654;174.752;22.529;291.498;264.842;296.415;325.119;407.734;547.262;630.109;801.763;109.488;143.015;132.508;105.651;139.451;179.82;222.976;263.511;302.74;344.979;390.452;433.588;482.357;535.53;597.385;665.273
AGO;Angola;24639;Business Tourism Spending;% share;0.361265;0.514123;0.381989;0.969323;0.698161;0.380851;0.840026;0.746738;0.751125;0.683042;0.545001;0.375654;0.35567;0.290819;0.424042;0.415194;0.34468;0.380058;0.484552;0.579252;0.541583;0.347099;0.362513;0.37631;0.383849;0.385363;0.378831;0.370992;0.362988;0.353042;0.344009;0.334605;0.327145;0.319726
AGO;Angola;24640;Business Tourism Spending;US$ in bn (Nominal prices);0.03;0.06;0.06;0.12207;0.08;0.06;0.135268;0.199552;0.234232;0.269675;0.334443;0.329536;0.38643;0.433299;0.513984;0.59546;0.670794;0.839824;113.437;145.485;110.367;0.645567;0.844647;0.921444;0.942578;0.990569;104.307;11.025;115.764;119.285;123.145;126.887;131.399;135.856
AGO;Angola;24641;Business Tourism Spending;US$ in bn (Real prices);0.228458;0.369864;0.309096;0.837861;0.594147;0.325893;0.742252;0.708497;0.734978;0.710084;0.645308;0.500604;0.537142;0.493556;0.761341;0.7758;0.677874;0.80419;106.787;133.753;129.599;0.802207;0.844647;0.893924;0.941691;0.974711;0.997975;101.521;103.199;104.172;105.262;106.406;108.136;109.821
AGO;Angola;24642;Business Tourism Spending;% growth;117.511;447.873;225.467;601.187;16.437;-359.243;144.724;-316.692;-182.056;332.363;-173.363;-171.587;931.359;-130.184;-206.797;-403.465;-0.579304;329.487;-314.838;209.823;0.09;-122.151;828.475;861.835;700.088;36.577;233.593;213.497;301.243;411.528;472.274;516.698;615.201;637.575
AGO;Angola;24643;Travel and Tourism direct contribution to employment;Thousands of jobs;652.338;776.109;665.509;992.554;124.008;797.327;473.895;716.568;792.443;913.338;107.221;728.575;913.818;80.599;116.473;110.902;917.772;123.357;139.597;122.254;115.391;997.871;110.341;116.728;114.883;116.217;118.363;123.09;128.042;131.372;135.264;138.851;142.912;146.806
AGO;Angola;24644;Travel and Tourism direct contribution to employment;% share of total employment;133.935;155.316;129.682;187.898;2.276;14.155;0.814839;119.617;127.468;142.128;161.917;10.702;130.578;111.457;154.787;141.747;113.217;146.734;16.004;134.952;122.725;102.347;109.239;111.492;105.917;103.368;101.619;102.054;102.465;101.624;101.146;100.312;0.998024;0.992465
